experiment_id,event_id,priority,event_type,north_m,east_m,is_high_priority,creation_time,activation_time,expiration_time,radius_m,first_detect_time,detected_by_uav,investigation_start_time,investigation_complete_time,investigated_by_uav,final_state
stochastic/N_6_seed_45,52,3,1,1102.9,1510.17,1,1781494847.8,1781494847.8,1781494967.8,20.0,,,,,,expired
stochastic/N_6_seed_45,53,2,1,2416.99,-1618.71,0,1781494849.87,1781494849.87,1781494969.87,20.0,,,,,,expired
stochastic/N_6_seed_45,54,5,0,2499.11,2779.17,1,1781494850.74,1781494850.74,1781494970.74,20.0,1781494851.814,1.0,1781494922.961,1781494953.059,1.0,investigated
stochastic/N_6_seed_45,55,2,0,2386.36,1028.75,0,1781494855.5,1781494855.5,1781494975.5,20.0,,,,,,expired
stochastic/N_6_seed_45,56,1,1,1180.22,-321.41,0,1781494865.01,1781494865.01,1781494985.01,20.0,,,,,,expired
stochastic/N_6_seed_45,57,2,0,911.83,1740.13,0,1781494888.3,1781494888.3,1781495008.3,20.0,,,,,,expired
stochastic/N_6_seed_45,58,5,1,1710.83,215.37,1,1781494900.86,1781494900.86,1781495020.86,20.0,,,,,,expired
stochastic/N_6_seed_45,59,2,0,958.8,-215.27,0,1781494908.0,1781494908.0,1781495028.0,20.0,,,,,,unresolved_active
stochastic/N_6_seed_45,60,3,0,2325.8,1496.92,1,1781494918.03,1781494918.03,1781495038.03,20.0,,,,,,unresolved_active
stochastic/N_6_seed_45,61,2,1,204.59,-948.31,0,1781494926.3,1781494926.3,1781495046.3,20.0,,,,,,unresolved_active
stochastic/N_6_seed_45,62,3,0,2201.5,-1997.78,1,1781494979.09,1781494979.09,1781495099.09,20.0,,,,,,unresolved_active
stochastic/N_6_seed_45,63,3,0,2511.7,992.11,1,1781494983.67,1781494983.67,1781495103.67,20.0,,,,,,unresolved_active
stochastic/N_6_seed_45,64,1,1,1273.8,-1761.28,0,1781494986.14,1781494986.14,1781495106.14,20.0,1781495005.58,6.0,,,,unresolved_active
stochastic/N_6_seed_45,65,5,0,1209.46,-292.56,1,1781495002.58,1781495002.58,1781495122.58,20.0,,,,,,unresolved_active
stochastic/N_6_seed_45,66,3,1,1181.49,610.58,1,1781495009.38,1781495009.38,1781495129.38,20.0,,,,,,unresolved_active
stochastic/N_6_seed_46,1,4,1,2261.36,-391.06,1,1781495046.07,1781495046.07,1781495166.07,20.0,,,,,,expired
stochastic/N_6_seed_46,2,1,1,2541.99,-1558.26,0,1781495046.07,1781495046.07,1781495166.07,20.0,,,,,,expired
stochastic/N_6_seed_46,3,5,0,327.03,-2011.23,1,1781495046.07,1781495046.07,1781495166.07,20.0,,,,,,expired
stochastic/N_6_seed_46,4,5,1,380.97,35.36,1,1781495046.07,1781495046.07,1781495166.07,20.0,1781495055.098,5.0,1781495055.266,1781495085.038,5.0,investigated
